,latitude,longitude,frp
0,-42.59174,146.98834,9.5
1,-42.59088,146.99323,4.6
2,-42.59054,146.98491,11.6
3,-42.5897,146.98978,11.6
4,-41.72793,148.04305,0.9
5,-41.72705,148.04662,2.8
6,-41.72696,148.04929,0.7
7,-41.7264,148.04147,0.7
8,-41.72557,148.04175,12.4
9,-41.72393,148.03639,12.4
10,-41.72351,148.05078,2.1
11,-41.72303,148.0433,0.9
12,-41.72209,148.03038,4.4
13,-41.72202,148.04912,0.7
14,-41.72161,148.05049,3.9
15,-41.72151,148.04182,0.7
16,-41.72023,148.02426,4.4
17,-41.72002,148.04527,6.9
18,-41.71834,148.03979,6.9
19,-41.71655,148.03394,4.5
20,-41.7147,148.02789,4.5
21,-41.7145,148.04893,6.9
22,-41.71289,148.02197,3.7
23,-41.7128,148.04335,6.9
24,-41.71276,148.04292,72.4
25,-41.71262,148.04767,2.8
26,-41.71115,148.01628,3.7
27,-41.71096,148.03735,4.5
28,-41.71085,148.04176,2.8
29,-41.71082,148.05338,17.1
30,-41.7108,148.02925,1.6
31,-41.71064,148.05795,1.8
32,-41.70985,148.05862,38.9
33,-41.70926,148.04178,72.4
34,-41.70903,148.03105,4.5
35,-41.709,148.03558,2.3
36,-41.70892,148.05234,1.1
37,-41.70829,148.04698,17.1
38,-41.70805,148.07114,0.8
39,-41.70768,148.00496,2.8
40,-41.70719,148.02502,3.7
41,-41.70708,148.02921,2.3
42,-41.7067,148.03549,25.4
43,-41.70607,148.0699,1.3
44,-41.70593,147.99921,4.2
45,-41.70547,148.01942,3.7
46,-41.70534,148.02339,2.0
47,-41.70446,148.00882,8.6
48,-41.7038,148.01396,2.8
49,-41.70368,148.01788,2.0
50,-41.70317,148.03445,25.4
51,-41.70221,148.03964,25.4
52,-41.70212,148.00847,2.8
53,-41.70203,148.01241,3.9
54,-41.70143,148.02789,1.7
55,-41.70125,148.04483,7.2
56,-41.70087,148.06693,3.5
57,-41.70041,148.00288,4.2
58,-41.70039,148.0069,3.9
59,-41.69987,148.0723,3.5
60,-41.69975,148.0224,1.7
61,-41.69959,148.00935,1.3
62,-41.69958,148.02626,2.0
63,-41.69909,148.00223,1.3
64,-41.69889,148.07758,5.6
65,-41.69873,148.00136,3.1
66,-41.6987,147.99728,4.2
67,-41.69867,148.03868,88.3
68,-41.6981,148.02171,25.5
69,-41.69808,148.01697,2.8
70,-41.69796,148.02087,2.0
71,-41.69772,148.04379,8.9
72,-41.69737,148.06569,3.5
73,-41.69711,148.02705,25.5
74,-41.69703,147.99573,3.1
75,-41.69678,148.04887,8.9
76,-41.6964,148.0817,1.1
77,-41.69637,148.07106,3.5
78,-41.69612,148.03238,88.3
79,-41.69584,148.05392,17.4
80,-41.69558,148.01529,6.4
81,-41.69486,148.05916,17.4
82,-41.69476,148.00613,2.1
83,-41.69459,148.0206,31.8
84,-41.69439,148.08171,5.6
85,-41.69422,148.0027,1.3
86,-41.6931,148.00072,2.1
87,-41.69306,148.00888,6.4
88,-41.69305,148.00453,3.1
89,-41.69205,148.01425,6.4
90,-41.69141,147.99908,3.1
91,-41.69136,148.05798,17.4
92,-41.69067,148.04167,11.9
93,-41.68972,147.99347,2.5
94,-41.68954,148.00775,6.9
95,-41.68937,148.00343,0.9
96,-41.68884,148.0085,2.1
97,-41.68853,148.0132,6.9
98,-41.6873,148.00349,2.1
99,-41.68716,148.007,2.5
100,-41.68705,148.00122,25.7
101,-41.68604,148.00661,6.9
102,-41.68564,147.99808,3.7
103,-41.68563,148.00192,2.5
104,-41.68401,147.99698,2.1
105,-41.68396,147.99637,2.6
106,-41.68391,147.99245,3.7
107,-41.68354,148.00009,33.7
108,-41.68254,148.00545,34.4
109,-41.68223,147.99063,2.6
110,-41.68101,147.99371,33.7
111,-41.68003,147.99898,33.7
112,-41.67847,147.98738,5.3
113,-41.6775,147.99263,6.9
114,-41.67496,147.98628,5.3
115,-41.67398,147.99156,6.9
116,-41.67299,147.99689,6.9
117,-41.66538,148.07739,3.0
118,-41.66386,148.06563,10.9
119,-41.66288,148.07086,10.9
120,-41.66189,148.07617,19.3
121,-41.66132,148.05931,4.7
122,-41.66034,148.06451,10.9
123,-41.65779,148.0582,32.2
124,-41.65722,148.04143,5.2
125,-41.65682,148.0634,13.8
126,-41.65624,148.04663,5.2
127,-41.6556,148.03017,4.8
128,-41.65427,148.05713,32.2
129,-41.6533,148.06233,13.8
130,-41.60168,147.84134,1.2
131,-41.60033,147.84265,1.7
132,-41.59982,147.83505,1.7
133,-41.59686,147.84195,1.2
134,-41.59631,147.83441,4.9
135,-41.5955,147.84328,1.7
136,-41.595,147.83562,1.7
137,-41.59452,147.82835,2.2
138,-41.59203,147.84245,1.8
139,-41.59149,147.83485,4.0
140,-41.59095,147.8275,4.0
