Rank,Name,Country,Area burned (km2),Deaths
1,2021 Russia wildfires,Russia,200000,0
2,2019-2020 Australian bushfire season,Australia,180000,34
3,2019 Siberia wildfires,Russia,43000,0
4,2014 Northwest Territories fires,Canada,34000,0
5,2009 black Saturday bushfires,Australia,21000,173
6,2020 California wildfires,United States,18000,31
7,2010 Bolivia forest fires,Bolivia,15000,0
8,2011–2012 Australian bushfire season,Australia,14000,0
9,2006-2007 Australian bushfire season,Australia,13000,5
10,2017 British Columbia wildfires,Canada,12000,0
11,2015 Russian wildfires,Russia,11000,33
12,2012–2013 Australian bushfire season,Australia,9000,4
13,2019 Amazon rainforest wildfires,"Brazil, Bolivia, Paraguay, Peru",9000,2
