,latitude,longitude,frp
0,-42.63275,147.07512,1.3
1,-42.63059,147.08649,1.2
2,-42.61604,147.05748,0.8
3,-42.61536,147.05215,1.5
4,-42.61322,147.0636,0.8
5,-42.61254,147.05833,0.8
6,-42.61187,147.0531,1.5
7,-42.60983,147.03711,1.0
8,-42.60972,147.06453,0.9
9,-42.60905,147.05925,0.9
10,-42.60839,147.05406,0.9
11,-42.6077,147.04872,0.9
12,-42.60691,147.07082,1.3
13,-42.60623,147.06544,0.9
14,-42.60556,147.06018,0.9
15,-42.60423,147.04976,0.9
16,-42.60397,147.06717,1.1
17,-42.60217,147.03365,1.5
18,-42.60051,147.04083,0.7
19,-42.5998,147.03545,0.7
20,-42.59937,147.04001,1.3
21,-42.59799,147.02914,0.9
22,-42.59631,147.03633,0.7
23,-42.5956,147.03096,1.2
24,-42.59519,147.03551,0.9
25,-42.59492,147.05321,1.0
26,-42.59488,147.02548,1.2
27,-42.59451,147.03011,0.9
28,-42.59422,147.04793,1.0
29,-42.59416,147.02002,0.8
30,-42.59381,147.02464,1.0
31,-42.59312,147.01923,1.0
32,-42.59277,147.0094,1.1
33,-42.59244,147.01385,1.2
34,-42.59211,147.03188,0.7
35,-42.59211,147.05937,0.9
36,-42.59207,147.00417,1.1
37,-42.59177,147.00858,1.2
38,-42.59141,147.02649,0.7
39,-42.59141,147.05399,1.0
40,-42.59109,147.00333,2.5
41,-42.59071,147.04871,1.0
42,-42.5907,147.02112,1.6
43,-42.59002,147.04337,1.4
44,-42.59,147.01576,1.6
45,-42.58931,147.03802,1.4
46,-42.58929,147.01045,1.0
47,-42.58862,147.03273,0.7
48,-42.58861,147.0602,0.9
49,-42.5886,147.0051,1.0
50,-42.58792,147.02742,0.7
51,-42.58791,146.99988,1.1
52,-42.5879,147.05476,1.9
53,-42.58722,147.02208,1.6
54,-42.5872,147.04947,1.9
55,-42.58652,147.01677,1.6
56,-42.5865,147.04411,2.7
57,-42.58582,147.0114,1.0
58,-42.5858,147.03877,2.7
59,-42.5851,147.03345,1.4
60,-42.5851,147.061,0.9
61,-42.58441,147.02814,1.4
62,-42.5844,147.05565,1.9
63,-42.58371,147.02284,2.1
64,-42.58369,147.05025,1.9
65,-42.58302,147.01753,2.1
66,-42.58299,147.04485,2.7
67,-42.58232,147.01221,0.8
68,-42.58228,147.03946,2.7
69,-42.58158,147.03409,1.4
70,-42.58091,147.05653,1.2
71,-42.58088,147.02876,1.4
72,-42.5802,147.02353,2.1
73,-42.58019,147.05106,1.2
74,-42.57951,147.01825,2.1
75,-42.57948,147.04559,1.4
76,-42.57881,147.01297,0.8
77,-42.57877,147.04015,1.4
78,-42.57806,147.03476,1.2
79,-42.57741,147.05739,1.2
80,-42.57736,147.02943,1.2
81,-42.57669,147.05191,1.2
82,-42.57668,147.0242,1.9
83,-42.57599,147.01898,1.9
84,-42.57598,147.04643,1.4
85,-42.57526,147.04094,1.4
86,-42.57454,147.03546,1.2
87,-42.57384,147.03014,1.2
88,-41.57362,147.89412,8.7
89,-41.57072,147.90025,5.6
90,-41.57005,147.8949,5.6
91,-41.56937,147.88937,4.9
92,-37.80545,148.23457,2.3
93,-37.79266,148.21916,0.6
94,-37.79048,148.22954,2.0
95,-37.78983,148.22472,0.6
96,-37.78918,148.21992,0.6
97,-37.78658,148.20071,1.9
98,-37.78571,148.22067,1.4
99,-37.78246,148.19667,0.5
100,-37.78223,148.22145,1.4
101,-37.78181,148.19188,0.5
102,-37.78159,148.21664,0.9
103,-37.78116,148.18707,1.1
104,-37.78094,148.21185,0.9
105,-37.77939,148.22691,1.6
106,-37.77898,148.1974,0.5
107,-37.77876,148.2222,1.6
108,-37.77834,148.19263,0.5
109,-37.77811,148.21741,1.7
110,-37.77769,148.18785,1.1
111,-37.77747,148.2126,1.7
112,-37.77681,148.20776,0.9
113,-37.77616,148.20297,0.9
114,-37.77591,148.22765,1.6
115,-37.77527,148.22289,1.6
116,-37.77487,148.19337,1.2
117,-37.77463,148.21811,1.7
118,-37.77422,148.18858,0.9
119,-37.77399,148.21332,1.7
120,-37.77357,148.18381,0.9
121,-37.77334,148.20854,0.9
122,-37.77269,148.20372,0.9
123,-37.77243,148.22836,2.3
124,-37.77204,148.19891,1.2
125,-37.77179,148.22359,2.3
126,-37.77139,148.19412,1.2
127,-37.77115,148.21883,2.7
128,-37.77074,148.18933,0.9
129,-37.7705,148.21404,2.7
130,-37.7701,148.18454,0.9
131,-37.76986,148.20926,2.0
132,-37.76945,148.17976,1.4
133,-37.76921,148.20448,2.0
134,-37.76895,148.22911,2.3
135,-37.76881,148.17497,1.4
136,-37.76857,148.19966,2.7
137,-37.76831,148.22432,2.3
138,-37.76767,148.21953,2.7
139,-37.76727,148.19006,1.7
140,-37.76702,148.21477,2.7
141,-37.76662,148.18527,1.7
142,-37.76638,148.20998,2.0
143,-37.76598,148.18048,1.5
144,-37.76574,148.20522,2.0
145,-37.76548,148.22983,3.6
146,-37.76533,148.1757,1.5
147,-37.76509,148.20044,2.7
148,-37.76483,148.22505,3.6
149,-37.76445,148.19563,2.7
150,-37.76418,148.22026,3.4
151,-37.76355,148.21547,3.4
152,-37.76315,148.186,1.7
153,-37.7629,148.21069,3.7
154,-37.76226,148.20593,3.7
155,-37.76162,148.20114,2.5
156,-37.76135,148.22577,3.6
157,-37.76098,148.19641,2.5
158,-37.76071,148.22099,3.4
159,-37.76044,148.24568,5.2
160,-37.76033,148.19157,2.4
161,-37.76007,148.2162,3.4
162,-37.7598,148.24088,1.5
163,-37.75942,148.21141,3.7
164,-37.75916,148.23608,1.5
165,-37.75903,148.18196,1.6
166,-37.75878,148.20665,3.7
167,-37.75851,148.23129,1.7
168,-37.75814,148.20189,2.5
169,-37.75787,148.22652,1.7
170,-37.7575,148.19713,2.5
171,-37.75723,148.22171,4.1
172,-37.75686,148.19235,2.4
173,-37.75659,148.21692,4.1
174,-37.75632,148.24164,1.5
175,-37.75621,148.18756,2.4
176,-37.75594,148.21214,4.2
177,-37.75568,148.23682,1.5
178,-37.75556,148.18274,1.6
179,-37.7553,148.20735,4.2
180,-37.75504,148.23201,1.7
181,-37.75492,148.17793,1.6
182,-37.75466,148.20261,2.5
183,-37.75439,148.22723,1.7
184,-37.75402,148.19786,2.5
185,-37.75375,148.22246,4.1
186,-37.75339,148.19312,2.6
187,-37.75311,148.21767,4.1
188,-37.75274,148.18832,2.6
189,-37.75247,148.21284,4.2
190,-37.75242,148.08043,3.2
191,-37.7522,148.23756,4.2
192,-37.75209,148.18352,1.5
193,-37.75182,148.20808,4.2
194,-37.75156,148.23276,2.6
195,-37.75145,148.17868,1.5
196,-37.75118,148.20331,2.5
197,-37.75092,148.22797,2.6
198,-37.75055,148.19855,2.5
199,-37.75048,148.06613,1.7
200,-37.75027,148.22319,5.5
201,-37.74991,148.19382,2.6
202,-37.74983,148.06139,1.7
203,-37.74963,148.2184,5.5
204,-37.74927,148.18907,2.6
205,-37.74919,148.05667,3.2
206,-37.74899,148.21359,34.8
207,-37.74872,148.2383,4.2
208,-37.74863,148.18428,1.5
209,-37.74835,148.2088,34.8
210,-37.74808,148.23351,2.6
211,-37.74798,148.17949,1.5
212,-37.74771,148.20403,9.6
213,-37.74744,148.22871,2.6
214,-37.74734,148.17471,2.4
215,-37.74707,148.19928,9.6
216,-37.7468,148.22392,5.5
217,-37.74655,148.11598,1.6
218,-37.74643,148.19452,2.8
219,-37.74615,148.21912,5.5
220,-37.74591,148.11124,1.6
221,-37.74588,148.24384,3.1
222,-37.74579,148.1898,2.8
223,-37.74551,148.21432,34.8
224,-37.74524,148.23904,3.1
225,-37.74515,148.18501,2.1
226,-37.74487,148.20953,34.8
227,-37.7446,148.23424,4.1
228,-37.74451,148.18025,2.1
229,-37.74423,148.20476,9.6
230,-37.74396,148.22945,4.1
231,-37.74387,148.17546,1.7
232,-37.74359,148.2,9.6
233,-37.74332,148.22466,6.1
234,-37.74305,148.24939,8.3
235,-37.74295,148.19524,2.8
236,-37.74268,148.21988,6.1
237,-37.74258,148.16586,1.2
238,-37.74244,148.11198,1.9
239,-37.74241,148.24458,3.1
240,-37.74231,148.19049,2.8
241,-37.74204,148.08272,3.4
242,-37.74204,148.21506,30.4
243,-37.74181,148.10728,3.8
244,-37.74176,148.23978,3.1
245,-37.74168,148.18573,2.1
246,-37.7414,148.07797,3.4
247,-37.74139,148.21028,30.4
248,-37.74113,148.235,4.1
249,-37.74103,148.18094,2.1
250,-37.74075,148.20549,6.0
251,-37.74064,148.15146,2.6
252,-37.74048,148.23019,4.1
253,-37.74039,148.17618,1.7
254,-37.74022,148.25494,3.5
255,-37.74012,148.20071,6.0
256,-37.73984,148.2254,6.1
257,-37.73975,148.1714,1.7
258,-37.73975,149.43549,31.8
259,-37.73957,148.25014,3.5
260,-37.73948,148.19595,3.9
261,-37.7392,148.2206,6.1
262,-37.73911,148.1666,1.2
263,-37.73898,148.11273,1.9
264,-37.73893,148.24536,5.0
265,-37.73883,148.19118,3.9
266,-37.73859,148.08354,1.9
267,-37.73856,148.21582,30.4
268,-37.73846,148.16182,1.2
269,-37.73829,148.24055,5.0
270,-37.73819,148.18642,16.1
271,-37.73794,148.07874,1.2
272,-37.73792,148.21101,30.4
273,-37.73765,148.23575,7.5
274,-37.73755,148.18163,16.1
275,-37.73738,148.26054,8.8
276,-37.73728,148.20622,6.0
277,-37.73701,148.23096,7.5
278,-37.73692,148.17688,2.5
279,-37.73673,148.25571,3.5
280,-37.73664,148.06915,1.2
281,-37.73664,148.20145,6.0
282,-37.73653,148.14743,3.7
283,-37.73637,148.22615,11.8
284,-37.73627,148.17213,2.5
285,-37.73609,148.25089,3.5
286,-37.736,148.19667,3.9
287,-37.73573,148.22133,11.8
288,-37.73564,148.16737,3.0
289,-37.73545,148.24609,5.0
290,-37.73536,148.19189,3.9
291,-37.73513,148.0843,1.9
292,-37.73508,148.21655,53.9
293,-37.73499,148.16257,3.0
294,-37.73481,148.24129,5.0
295,-37.73472,148.18712,16.1
296,-37.73454,148.26607,3.5
297,-37.73448,148.07948,1.2
298,-37.73444,148.21176,53.9
299,-37.73435,148.15779,4.4
300,-37.73417,148.23648,7.5
301,-37.73408,148.18233,16.1
302,-37.73389,148.26126,3.5
303,-37.73383,148.07466,1.2
304,-37.7338,148.20695,26.8
305,-37.7337,148.15298,4.4
306,-37.73353,148.23167,7.5
307,-37.73344,148.1776,2.5
308,-37.73325,148.25644,6.7
309,-37.73318,148.06987,1.2
310,-37.73316,148.20216,26.8
311,-37.73306,148.14821,2.4
312,-37.73289,148.22687,11.8
313,-37.73281,148.17288,2.5
314,-37.73262,148.25163,6.7
315,-37.73253,148.06511,1.2
316,-37.73252,148.1974,7.3
317,-37.73242,148.14343,2.4
318,-37.73225,148.22209,11.8
319,-37.73217,148.16812,3.0
320,-37.73198,148.24684,12.1
321,-37.73188,148.19261,7.3
322,-37.73161,148.21727,53.9
323,-37.73153,148.16335,3.0
324,-37.73133,148.24203,12.1
325,-37.73124,148.18784,11.0
326,-37.73105,148.26682,3.5
327,-37.73088,148.15857,4.4
328,-37.73069,148.23721,21.0
329,-37.7306,148.18307,11.0
330,-37.73042,148.26201,3.5
331,-37.73037,148.07539,3.8
332,-37.73032,148.20769,26.8
333,-37.73024,148.15376,4.4
334,-37.73005,148.23242,21.0
335,-37.72997,148.1783,12.3
336,-37.72978,148.25719,6.7
337,-37.72969,148.20291,26.8
338,-37.7296,148.14897,2.4
339,-37.72941,148.22762,68.6
